Date,Price,Status,Build Year,URL,Adresse,Kort adresse,Kvdm,Latitude,Longitude,Kommune,Type,Værelser,Badeværelser,Toiletter,KælderAreal,Distance_to_rådhus,Nearest_Metro_Distance,Nearest_Tog_Distance,Price_per_kvdm,Price_million,Natural_log_Price,Natural_log_Price_per_kvdm,København,Albertslund,Ballerup,Brøndby,Frederiksberg,Furesø,Gentofte,Gladsaxe,Glostrup,Greve,Herlev,Hvidovre,Ishøj,Lyngby-Taarbak,Rudersdal,Rødovre,Tarnby,Vallensbak,Ejerlejlighed,Villa,Rækkehus,Year,2015,2016,2017,2018,2019,2020,2021,2022,2023,D_metro_1-2,D_metro_2-3,D_metro_3_plus,D_Tog_1-3,D_Tog_3-6,D_Tog_6_plus,D_Radhus_1-5,D_Radhus_5-10,D_Radhus_10_plus,After corona lockdown,ejendom_alder,ln_ejendom_alder,ln_KælderAreal,Værelser_squared,Toiletter_squared,Badeværelser_squared,ln_Distance_to_rådhus,D_metro_0-1,D_Tog_0-1,D_Radhus_0-1
2022-08-30,6750000,"Solgt, Fri handel",1932,https://www.boligsiden.dk/adresse/kansasvej-10b-2300-koebenhavn-s-01013552_10b_______,Kansasvej 10B 2300 København S,Kansasvej 10B 2300,100.0,55.635019,12.5908411,København,Villa,4.0,1.0,1.0,0.0,4.758936867950116,0.7151427172373209,3.9008556501666805,67500.0,6.75,15.725053062848712,11.119882876860622,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,91,4.5217885770490405,0.0,16.0,1.0,1.0,1.7507528861359394,1,0,0
2018-09-20,3200000,"Solgt, Fri handel",1932,https://www.boligsiden.dk/adresse/kansasvej-10b-2300-koebenhavn-s-01013552_10b_______,Kansasvej 10B 2300 København S,Kansasvej 10B 2300,100.0,55.635019,12.5908411,København,Villa,4.0,1.0,1.0,0.0,4.758936867950116,0.7151427172373209,3.9008556501666805,32000.0,3.2,14.978661367769956,10.373491181781864,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,91,4.5217885770490405,0.0,16.0,1.0,1.0,1.7507528861359394,1,0,0
2016-05-17,3798000,"Solgt, Fri handel",1967,https://www.boligsiden.dk/adresse/stenrosevej-6-2300-koebenhavn-s-01016900___6_______,Stenrosevej 6 2300 København S,Stenrosevej 6 2300,125.0,55.6397464,12.6089255,København,Villa,4.0,1.0,2.0,0.0,4.744492105003372,1.5769211504202183,4.203503362434489,30384.0,3.798,15.149985170354368,10.321671433052067,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,56,4.04305126783455,0.0,16.0,4.0,1.0,1.7482415009528434,0,0,0
2021-05-03,7300000,"Solgt, Fri handel",1943,https://www.boligsiden.dk/adresse/kastrupvej-164-2300-koebenhavn-s-01013600_164_______,Kastrupvej 164 2300 København S,Kastrupvej 164 2300,212.0,55.6452452,12.6263517,København,Villa,7.0,3.0,3.0,109.0,4.96035023014831,0.7538380027363656,4.744346990837982,34433.96226415094,7.3,15.80338490611862,10.446798631446606,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,80,4.394449154672439,4.700480365792417,49.0,9.0,9.0,1.7851292427984577,1,0,0
2020-01-25,5860000,"Solgt, Fri handel",1921,https://www.boligsiden.dk/adresse/mellemvangen-33-2700-broenshoej-01014720__33_______,Mellemvangen 33 2700 Brønshøj,Mellemvangen 33 2700,148.0,55.7087977,12.5080381,København,Villa,4.0,1.0,2.0,74.0,5.28492454418405,2.5801172787463114,2.070663506751622,39594.59459459459,5.86,15.583660161553196,10.586447887789081,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2020,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,102,4.634728988229636,4.31748811353631,16.0,4.0,1.0,1.8381538362715022,0,0,0
2015-03-31,3400000,"Solgt, Fri handel",1921,https://www.boligsiden.dk/adresse/mellemvangen-33-2700-broenshoej-01014720__33_______,Mellemvangen 33 2700 Brønshøj,Mellemvangen 33 2700,148.0,55.7087977,12.5080381,København,Villa,4.0,1.0,2.0,74.0,5.28492454418405,2.5801172787463114,2.070663506751622,22972.972972972973,3.4,15.03928598958639,10.042073715822275,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2015,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,102,4.634728988229636,4.31748811353631,16.0,4.0,1.0,1.8381538362715022,0,0,0
2019-11-04,6850000,"Solgt, Fri handel",1937,https://www.boligsiden.dk/adresse/kjaerstrupvej-33-2500-valby-01013720__33_______,Kjærstrupvej 33 2500 Valby,Kjærstrupvej 33 2500,142.0,55.6759999,12.4892059,København,Villa,5.0,1.0,2.0,105.0,5.009777095363501,1.270393465575285,0.2800126000266723,48239.43661971831,6.85,15.739759210238407,10.783932152637147,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,86,4.465908118654584,4.663439094112067,25.0,4.0,1.0,1.7933876589014837,0,1,0
2015-03-29,2925000,"Solgt, Fri handel",1972,https://www.boligsiden.dk/adresse/hellestedvej-3a-2700-broenshoej-01012796__3a_______,Hellestedvej 3A 2700 Brønshøj,Hellestedvej 3A 2700,107.0,55.7060565,12.4798617,København,Villa,5.0,1.0,1.0,0.0,6.514598127901317,1.6497866220764676,1.016747890715332,27336.448598130843,2.925,14.888805038648094,10.215976204186187,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2015,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,51,3.9512437185814275,0.0,25.0,1.0,1.0,2.0168475457805437,0,0,0
2023-07-05,6925000,"Solgt, Fri handel",1954,https://www.boligsiden.dk/adresse/mosesvinget-22b-2400-koebenhavn-nv-01014836_22b_______,Mosesvinget 22B 2400 København NV,Mosesvinget 22B 2400,140.0,55.71400980000001,12.5065605,København,Villa,5.0,1.0,3.0,67.0,5.762463252385467,2.870390051153039,2.2701391166253115,49464.28571428572,6.925,15.750648610037675,10.809006187428372,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2023,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,69,4.248495242049359,4.219507705176107,25.0,9.0,1.0,1.9113872101298084,0,0,0
2020-09-18,5550000,"Solgt, Fri handel",1954,https://www.boligsiden.dk/adresse/mosesvinget-22b-2400-koebenhavn-nv-01014836_22b_______,Mosesvinget 22B 2400 København NV,Mosesvinget 22B 2400,140.0,55.71400980000001,12.5065605,København,Villa,5.0,1.0,3.0,67.0,5.762463252385467,2.870390051153039,2.2701391166253115,39642.857142857145,5.55,15.529308485722618,10.587666063113312,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2020,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,69,4.248495242049359,4.219507705176107,25.0,9.0,1.0,1.9113872101298084,0,0,0
