Date,Price,Status,Build Year,URL,Adresse,Kort adresse,Kvdm,Latitude,Longitude,Kommune,Type,Nearest_Metro_Distance,Nearest_Tog_Distance
2018-08-22,1650000,"Solgt, Øvrigt",1967,https://www.boligsiden.dk/adresse/kongsager-32-2620-albertslund-01650275__32_______,Kongsager 32 2620 Albertslund,Kongsager 32 2620,131.0,55.6655436,12.3354594,Albertslund,Villa,9.56906189903738,1.4113329715666805
2015-03-04,2089000,"Solgt, Auktion",2017,https://www.boligsiden.dk/adresse/kratager-29-2620-albertslund-01650283__29_______,Kratager 29 2620 Albertslund,Kratager 29 2620,200.0,55.6711247,12.3256414,Albertslund,Villa,10.000728754083209,2.2782262931482142
2015-11-25,2241000,"Solgt, Auktion",1969,https://www.boligsiden.dk/adresse/kratager-5-2620-albertslund-01650283___5_______,Kratager 5 2620 Albertslund,Kratager 5 2620,171.0,55.6705414,12.3266115,Albertslund,Villa,9.956322473773191,2.1900808023702387
2018-01-31,1498125,"Solgt, Familiehandel",1967,https://www.boligsiden.dk/adresse/lavager-34-2620-albertslund-01650296__34_______,Lavager 34 2620 Albertslund,Lavager 34 2620,132.0,55.6684826,12.3264965,Albertslund,Villa,10.018935113291477,2.05938711088623
2017-01-03,3450000,"Solgt, Auktion",1967,https://www.boligsiden.dk/adresse/moerkager-53-2620-albertslund-01650329__53_______,Mørkager 53 2620 Albertslund,Mørkager 53 2620,129.0,55.6640175,12.327085,Albertslund,Villa,10.121000357940412,1.7941087559735267
2016-11-11,649500,"Solgt, Familiehandel",1965,https://www.boligsiden.dk/adresse/groenneled-21-2620-albertslund-01650145__21_______,Grønneled 21 2620 Albertslund,Grønneled 21 2620,140.0,55.6602727,12.354324,Albertslund,Villa,8.663938011836679,0.2427243948131938
2022-04-28,2000000,"Solgt, Familiehandel",1965,https://www.boligsiden.dk/adresse/platanhaven-69-2600-glostrup-01650362__69_______,Platanhaven 69 2600 Glostrup,Platanhaven 69 2600,133.0,55.6762044,12.3816715,Albertslund,Villa,6.454653683438532,1.7942779113102962
2022-06-10,1997500,"Solgt, Familiehandel",1967,https://www.boligsiden.dk/adresse/platanhaven-7-2600-glostrup-01650362___7_______,Platanhaven 7 2600 Glostrup,Platanhaven 7 2600,152.0,55.674268,12.3812173,Albertslund,Villa,6.541139455098984,1.645322023086239
2018-02-15,1650000,"Solgt, Familiehandel",1880,https://www.boligsiden.dk/adresse/roskildevej-145c-2620-albertslund-01650410145c_______,Roskildevej 145C 2620 Albertslund,Roskildevej 145C 2620,173.0,55.66145760000001,12.3470251,Albertslund,Villa,9.036486817704962,0.5600195344159303
2019-01-17,1110952,"Solgt, Familiehandel",1968,https://www.boligsiden.dk/adresse/randager-97-2620-albertslund-01650370__97_______,Randager 97 2620 Albertslund,Randager 97 2620,110.0,55.6684402,12.3321061,Albertslund,Villa,9.680294603224777,1.7756915456091282
