Date,Price,Status,Build Year,URL,Adresse,Kort adresse,Kvdm,Latitude,Longitude,Kommune
2016-09-09,375000,"Solgt, Familiehandel",1971,https://www.boligsiden.dk/adresse/topperne-4-0-2-2620-albertslund-01650532___4_st___2,"Topperne 4, st. 2. 2620 Albertslund",Topperne 4,33.0,55.671201,12.340884,Albertslund
2016-04-04,725000,"Solgt, Familiehandel",1972,https://www.boligsiden.dk/adresse/topperne-5-1-13-2620-albertslund-01650532___5__1__13,"Topperne 5, 1. 13. 2620 Albertslund",Topperne 5,100.0,55.6721734,12.3421953,Albertslund
2015-04-13,1250000,"Solgt, Familiehandel",1972,https://www.boligsiden.dk/adresse/topperne-28-0-3-2620-albertslund-01650532__28_st___3,"Topperne 28, st. 3. 2620 Albertslund",Topperne 28,97.0,55.67094400000001,12.343041,Albertslund
2022-04-21,1020000,"Solgt, Auktion",1972,https://www.boligsiden.dk/adresse/topperne-7-0-2-2620-albertslund-01650532___7_st___2,"Topperne 7, st. 2. 2620 Albertslund",Topperne 7,33.0,55.67250300000001,12.342267,Albertslund
2020-07-08,366666,"Solgt, Familiehandel",1972,https://www.boligsiden.dk/adresse/topperne-15-3-32-2620-albertslund-01650532__15__3__32,"Topperne 15, 3. 32. 2620 Albertslund",Topperne 15,49.0,55.67236399999999,12.343719,Albertslund
2017-04-12,552500,"Solgt, Familiehandel",1971,https://www.boligsiden.dk/adresse/topperne-14-1-12-2620-albertslund-01650532__14__1__12,"Topperne 14, 1. 12. 2620 Albertslund",Topperne 14,49.0,55.670913,12.341543,Albertslund
2018-01-22,1147500,"Solgt, Familiehandel",2008,https://www.boligsiden.dk/adresse/tornegaardsvej-60-1-2620-albertslund-01652714__60__1____,"Tornegårdsvej 60, 1. 2620 Albertslund",Tornegårdsvej 60,78.0,55.6703454,12.3566386,Albertslund
2018-12-28,1200000,"Solgt, Familiehandel",1971,https://www.boligsiden.dk/adresse/topperne-14-1-14-2620-albertslund-01650532__14__1__14,"Topperne 14, 1. 14. 2620 Albertslund",Topperne 14,49.0,55.670913,12.341543,Albertslund
2016-06-08,552500,"Solgt, Familiehandel",1972,https://www.boligsiden.dk/adresse/topperne-3-2-22-2620-albertslund-01650532___3__2__22,"Topperne 3, 2. 22. 2620 Albertslund",Topperne 3,49.0,55.6725861,12.3415452,Albertslund
2020-10-12,1250000,"Solgt, Auktion",1972,https://www.boligsiden.dk/adresse/topperne-20-1-12-2620-albertslund-01650532__20__1__12,"Topperne 20, 1. 12. 2620 Albertslund",Topperne 20,49.0,55.6710024,12.3423874,Albertslund
2015-10-27,662500,"Solgt, Øvrigt",1972,https://www.boligsiden.dk/adresse/topperne-26-0-3-2620-albertslund-01650532__26_st___3,"Topperne 26, st. 3. 2620 Albertslund",Topperne 26,102.0,55.67096369999999,12.3430136,Albertslund
2018-10-13,1575000,"Solgt, Øvrigt",2008,https://www.boligsiden.dk/adresse/lange-eng-23-2620-albertslund-01650297__23_______,Lange Eng 23 2620 Albertslund,Lange Eng 23 2620,92.0,55.6648095,12.3433982,Albertslund
2015-05-12,569500,"Solgt, Familiehandel",1972,https://www.boligsiden.dk/adresse/topperne-20-3-32-2620-albertslund-01650532__20__3__32,"Topperne 20, 3. 32. 2620 Albertslund",Topperne 20,49.0,55.6710024,12.3423874,Albertslund
2019-07-03,1100000,"Solgt, Øvrigt",1972,https://www.boligsiden.dk/adresse/topperne-24-1-12-2620-albertslund-01650532__24__1__12,"Topperne 24, 1. 12. 2620 Albertslund",Topperne 24,49.0,55.67060799999999,12.342185,Albertslund
2015-05-26,1568000,"Solgt, Familiehandel",2004,https://www.boligsiden.dk/adresse/soendergaards-alle-192-2760-maaloev-01510802_192_______,Søndergårds Allé 192 2760 Måløv,Søndergårds Allé 192 2760,100.0,55.746837,12.312523,Ballerup
2020-10-22,697000,"Solgt, Familiehandel",1940,https://www.boligsiden.dk/adresse/slettebjergvej-1-0-tv-2750-ballerup-01510313___1_st__tv,"Slettebjergvej 1, st. tv. 2750 Ballerup",Slettebjergvej 1,62.0,55.5451687,11.5872928,Ballerup
