Date,Price,Status,Build Year,URL
,,,1986,https://www.boligsiden.dk/adresse/blomsterkrogen-17a-2620-albertslund-01650044_17a_______
,,,2008,https://www.boligsiden.dk/adresse/robinievej-69-2620-albertslund-01650387__69_______
,,,1986,https://www.boligsiden.dk/adresse/molndalsparken-38-2620-albertslund-01650328__38_______
,,,2008,https://www.boligsiden.dk/adresse/robinievej-131-2620-albertslund-01650387_131_______
,,,2011,https://www.boligsiden.dk/adresse/birkelundsvej-28-2620-albertslund-01650037__28_______
,,,1972,https://www.boligsiden.dk/adresse/tranehusene-82-2620-albertslund-01650536__82_______
,,,1967,https://www.boligsiden.dk/adresse/elmehusene-25-2600-glostrup-01650087__25_______
,,,2017,https://www.boligsiden.dk/adresse/atlasvaenge-25h-2750-ballerup-01510023_25h_______
,,,2017,https://www.boligsiden.dk/adresse/atlasvaenge-25h-2750-ballerup-01510023_25h_______
,,,2017,https://www.boligsiden.dk/adresse/atlasvaenge-1d-2750-ballerup-01510023__1d_______
,,,1959,https://www.boligsiden.dk/adresse/birkeengen-53-2740-skovlunde-01510517__53_______
,,,1971,https://www.boligsiden.dk/adresse/aakrogen-4-2605-broendby-01530833___4_______
,,,1978,https://www.boligsiden.dk/adresse/holstedparken-6-2660-broendby-strand-01530244___6_______
,,,1978,https://www.boligsiden.dk/adresse/holstedparken-6-2660-broendby-strand-01530244___6_______
,,,1928,https://www.boligsiden.dk/adresse/vagtelvej-20-2000-frederiksberg-01470811__20_______
,,,1928,https://www.boligsiden.dk/adresse/duevej-33-2000-frederiksberg-01470178__33_______
,,,1971,https://www.boligsiden.dk/adresse/jaettevangen-2-3520-farum-01900316___2_______
,,,2008,https://www.boligsiden.dk/adresse/stabsvaenget-16-3520-farum-01900763__16_______
,,,1980,https://www.boligsiden.dk/adresse/nygaardspark-39-3520-farum-01900441__39_______
,,,2022,https://www.boligsiden.dk/adresse/soendre-vagt-16-3500-vaerloese-01900815__16_______
,,,1966,https://www.boligsiden.dk/adresse/hoejbovaenge-24-3500-vaerloese-01900288__24_______
,,,1977,https://www.boligsiden.dk/adresse/taarnhoejgaard-23-3500-vaerloese-01900671__23_______
,,,2016,https://www.boligsiden.dk/adresse/adjudantvaenget-25-3520-farum-01900769__25_______
,,,2016,https://www.boligsiden.dk/adresse/adjudantvaenget-25-3520-farum-01900769__25_______
,,,2012,https://www.boligsiden.dk/adresse/sergentvaenget-20-3520-farum-01900768__20_______
,,,2008,https://www.boligsiden.dk/adresse/stabsvaenget-4-3520-farum-01900763___4_______
,,,2008,https://www.boligsiden.dk/adresse/stabsvaenget-4-3520-farum-01900763___4_______
,,,2023,https://www.boligsiden.dk/adresse/bringegaardene-30-3500-vaerloese-01900775__30_______
,,,2022,https://www.boligsiden.dk/adresse/bringegaardene-25-3500-vaerloese-01900775__25_______
,,,1961,https://www.boligsiden.dk/adresse/thyhyttevej-14-3500-vaerloese-01900646__14_______
,,,1967,https://www.boligsiden.dk/adresse/ryttervaenget-63-3520-farum-01900510__63_______
,,,1967,https://www.boligsiden.dk/adresse/ryttervaenget-63-3520-farum-01900510__63_______
,,,2008,https://www.boligsiden.dk/adresse/divisionsvaenget-1-3520-farum-01900762___1_______
,,,1844,https://www.boligsiden.dk/adresse/skovgaards-alle-25-3500-vaerloese-01900540__25_______
,,,1955,https://www.boligsiden.dk/adresse/skovgaardsvej-16e-2920-charlottenlund-01570720_16e_______
,,,1931,https://www.boligsiden.dk/adresse/rygaards-alle-63a-2900-hellerup-01570665_63a_______
,,,1900,https://www.boligsiden.dk/adresse/strandvejen-312a-2930-klampenborg-01570802312a_______
,,,1929,https://www.boligsiden.dk/adresse/esperance-alle-22-2920-charlottenlund-01570215__22_______
,,,1937,https://www.boligsiden.dk/adresse/henriettevej-29-2920-charlottenlund-01570340__29_______
,,,1944,https://www.boligsiden.dk/adresse/mosehoejvej-42b-2920-charlottenlund-01570572_42b_______
,,,2001,https://www.boligsiden.dk/adresse/skovvej-77c-2920-charlottenlund-01570742_77c_______
,,,1947,https://www.boligsiden.dk/adresse/vingaards-alle-60-2900-hellerup-01570951__60_______
,,,1942,https://www.boligsiden.dk/adresse/kildegaardsvaenget-21-2900-hellerup-01570446__21_______
,,,1969,https://www.boligsiden.dk/adresse/tagestorp-14a-2820-gentofte-01570855_14a_______
,,,1922,https://www.boligsiden.dk/adresse/emiliekildevej-35a-2930-klampenborg-01570191_35a_______
,,,2006,https://www.boligsiden.dk/adresse/moerkhoej-parkalle-18e-2860-soeborg-01590596_18e_______
,,,1965,https://www.boligsiden.dk/adresse/tornegaardsvej-7-2860-soeborg-01590897___7_______
,,,1965,https://www.boligsiden.dk/adresse/tornegaardsvej-7-2860-soeborg-01590897___7_______
,,,1945,https://www.boligsiden.dk/adresse/porsevaenget-31-2800-kongens-lyngby-01590664__31_______
,,,1954,https://www.boligsiden.dk/adresse/louisehoej-27-2880-bagsvaerd-01590519__27_______
,,,1950,https://www.boligsiden.dk/adresse/maj-alle-91-2860-soeborg-01590544__91_______
,,,1966,https://www.boligsiden.dk/adresse/rylevaenget-9b-2880-bagsvaerd-01590705__9b_______
,,,1956,https://www.boligsiden.dk/adresse/ved-kagsaa-46-2860-soeborg-01590956__46_______
,,,1956,https://www.boligsiden.dk/adresse/ved-kagsaa-46-2860-soeborg-01590956__46_______
