Date,Price,Status,Build Year,URL
,,,1947,https://www.boligsiden.dk/adresse/tjoernelunds-alle-2-0-2500-valby-01017500___2_st____
,,,1913,https://www.boligsiden.dk/adresse/rebekkavej-28-0-2900-hellerup-01015752__28_st____
,,,1913,https://www.boligsiden.dk/adresse/rebekkavej-28-0-2900-hellerup-01015752__28_st____
,,,1892,https://www.boligsiden.dk/adresse/toftebakkevej-19-0-2500-valby-01017520__19_st____
,,,1879,https://www.boligsiden.dk/adresse/vendersgade-22-3-tv-1363-koebenhavn-k-01018144__22__3__tv
,,,1930,https://www.boligsiden.dk/adresse/roskildevej-151-1-tv-2500-valby-01015968_151__1__tv
,,,1745,https://www.boligsiden.dk/adresse/overgaden-oven-vandet-54-4-tv-1415-koebenhavn-k-01015368__54__4__tv
,,,1899,https://www.boligsiden.dk/adresse/hjoerringgade-11-4-th-2100-koebenhavn-oe-01012956__11__4__th
,,,1928,https://www.boligsiden.dk/adresse/tuxensvej-19-0-2700-broenshoej-01017716__19_st____
,,,1934,https://www.boligsiden.dk/adresse/parmagade-36-4-th-2300-koebenhavn-s-01015424__36__4__th
,,,1882,https://www.boligsiden.dk/adresse/amagerbrogade-65-1-2300-koebenhavn-s-01010108__65__1____
,,,1904,https://www.boligsiden.dk/adresse/marstalsgade-49-6-th-2100-koebenhavn-oe-01014668__49__6__th
,,,1904,https://www.boligsiden.dk/adresse/marstalsgade-49-6-th-2100-koebenhavn-oe-01014668__49__6__th
,,,2016,https://www.boligsiden.dk/adresse/strandlodsvej-25e-2-th-2300-koebenhavn-s-01016996_25e__2__th
,,,1927,https://www.boligsiden.dk/adresse/harrestrup-alle-28-0-2500-valby-01012652__28_st____
,,,1962,https://www.boligsiden.dk/adresse/dronningensgade-42-1-1-1420-koebenhavn-k-01011352__42__1___1
,,,1962,https://www.boligsiden.dk/adresse/dronningensgade-42-1-1-1420-koebenhavn-k-01011352__42__1___1
,,,1937,https://www.boligsiden.dk/adresse/kastrupvej-75-0-tv-2300-koebenhavn-s-01013600__75_st__tv
,,,1910,https://www.boligsiden.dk/adresse/svanemoellevej-13-2-2100-koebenhavn-oe-01017136__13__2____
,,,1960,https://www.boligsiden.dk/adresse/torvegade-64-2-4-1400-koebenhavn-k-01017592__64__2___4
,,,1972,https://www.boligsiden.dk/adresse/jagtvej-213-1-2-2100-koebenhavn-oe-01013332_213__1___2
,,,1972,https://www.boligsiden.dk/adresse/jagtvej-213-1-2-2100-koebenhavn-oe-01013332_213__1___2
,,,1890,https://www.boligsiden.dk/adresse/lille-farimagsgade-1-3-tv-2100-koebenhavn-oe-01014260___1__3__tv
,,,1933,https://www.boligsiden.dk/adresse/solvaenget-11-2100-koebenhavn-oe-01016720__11_______
,,,1857,https://www.boligsiden.dk/adresse/noerre-voldgade-102-5-1358-koebenhavn-k-01015220_102__5____
,,,1939,https://www.boligsiden.dk/adresse/birkholmvej-19-1-2720-vanloese-01010512__19__1____
,,,1944,https://www.boligsiden.dk/adresse/lindebugten-42-1-2500-valby-01014324__42__1____
,,,1934,https://www.boligsiden.dk/adresse/mozartsvej-13-1-tv-2450-koebenhavn-sv-01014844__13__1__tv
,,,1922,https://www.boligsiden.dk/adresse/bygholmvej-21-1-2720-vanloese-01010976__21__1____
,,,1922,https://www.boligsiden.dk/adresse/bygholmvej-21-1-2720-vanloese-01010976__21__1____
,,,1931,https://www.boligsiden.dk/adresse/holsteinsgade-64-2-tv-2100-koebenhavn-oe-01013008__64__2__tv
,,,1880,https://www.boligsiden.dk/adresse/roemersgade-3-4-1362-koebenhavn-k-01016116___3__4____
,,,1931,https://www.boligsiden.dk/adresse/lindebugten-56-1-2500-valby-01014324__56__1____
