Date,Price,Status,Build Year,URL
,,,1871,https://www.boligsiden.dk/adresse/alhambravej-8-1-1826-frederiksberg-c-01470013___8__1____
,,,1880,https://www.boligsiden.dk/adresse/grundtvigsvej-34-3-tv-1864-frederiksberg-c-01470328__34__3__tv
,,,1880,https://www.boligsiden.dk/adresse/grundtvigsvej-34-3-tv-1864-frederiksberg-c-01470328__34__3__tv
,,,1880,https://www.boligsiden.dk/adresse/grundtvigsvej-34-3-tv-1864-frederiksberg-c-01470328__34__3__tv
,,,1932,https://www.boligsiden.dk/adresse/azaleavej-32-1-2000-frederiksberg-01470046__32__1____
,,,1932,https://www.boligsiden.dk/adresse/azaleavej-32-1-2000-frederiksberg-01470046__32__1____
,,,1871,https://www.boligsiden.dk/adresse/alhambravej-8-0-1826-frederiksberg-c-01470013___8_st____
,,,1885,https://www.boligsiden.dk/adresse/yrsavej-9-1-th-2000-frederiksberg-01470847___9__1__th
,,,1885,https://www.boligsiden.dk/adresse/yrsavej-9-1-th-2000-frederiksberg-01470847___9__1__th
,,,1917,https://www.boligsiden.dk/adresse/duevej-114-3-tv-2000-frederiksberg-01470178_114__3__tv
,,,1926,https://www.boligsiden.dk/adresse/finsensvej-73-2-th-2000-frederiksberg-01470238__73__2__th
,,,1926,https://www.boligsiden.dk/adresse/finsensvej-73-2-th-2000-frederiksberg-01470238__73__2__th
,,,1905,https://www.boligsiden.dk/adresse/kristian-zahrtmanns-plads-81-0-tv-2000-frederiksberg-01470478__81_st__tv
,,,1905,https://www.boligsiden.dk/adresse/kristian-zahrtmanns-plads-81-0-tv-2000-frederiksberg-01470478__81_st__tv
,,,1901,https://www.boligsiden.dk/adresse/aaboulevard-45a-0-th-1960-frederiksberg-c-01470856_45a_st__th
,,,1901,https://www.boligsiden.dk/adresse/aaboulevard-45a-0-th-1960-frederiksberg-c-01470856_45a_st__th
,,,1872,https://www.boligsiden.dk/adresse/lykkesholms-alle-31-2-1902-frederiksberg-c-01470520__31__2____
,,,1887,https://www.boligsiden.dk/adresse/vodroffsvej-50b-2-tv-1900-frederiksberg-c-01470838_50b__2__tv
,,,1887,https://www.boligsiden.dk/adresse/vodroffsvej-50b-2-tv-1900-frederiksberg-c-01470838_50b__2__tv
,,,1920,https://www.boligsiden.dk/adresse/holger-danskes-vej-40-0-tv-2000-frederiksberg-01470376__40_st__tv
,,,1868,https://www.boligsiden.dk/adresse/nyvej-15-1-1851-frederiksberg-c-01470604__15__1____
,,,1921,https://www.boligsiden.dk/adresse/glahns-alle-25a-2000-frederiksberg-01470310_25a_______
,,,1921,https://www.boligsiden.dk/adresse/glahns-alle-25a-2000-frederiksberg-01470310_25a_______
,,,1925,https://www.boligsiden.dk/adresse/skovbovaenget-106-1-3500-vaerloese-01900537_106__1____
,,,1970,https://www.boligsiden.dk/adresse/engstedet-3-2-64-3500-vaerloese-01900168___3__2__64
,,,1970,https://www.boligsiden.dk/adresse/engstedet-3-2-64-3500-vaerloese-01900168___3__2__64
,,,1970,https://www.boligsiden.dk/adresse/engstedet-3-0-39-3500-vaerloese-01900168___3_st__39
