Date,Price,Status,Build Year,URL
,1400000.0,"Solgt, Fri handel""}]",-1,https://www.boligsiden.dk/adresse/fanevaenget-58-3520-farum-01900809__58_______
,3995000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-10-3520-farum-01900767__10_______
2023-05-28T00:00:00Z,3995000.0,"Solgt, Fri handel",-1,https://www.boligsiden.dk/adresse/majorvaenget-10-3520-farum-01900767__10_______
2023-04-21T06:18:32.36285Z,3995000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-10-3520-farum-01900767__10_______
2017-05-19T00:00:00Z,3299000.0,"Solgt, Fri handel",-1,https://www.boligsiden.dk/adresse/majorvaenget-10-3520-farum-01900767__10_______
2017-04-25T09:24:02.46Z,3299000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-10-3520-farum-01900767__10_______
2016-11-27T23:38:45.13Z,3299000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-10-3520-farum-01900767__10_______
,1400000.0,"Solgt, Fri handel""}]",-1,https://www.boligsiden.dk/adresse/fanevaenget-44-3520-farum-01900809__44_______
,3795000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-7-3520-farum-01900767___7_______
2019-07-29T00:00:00Z,3770000.0,"Solgt, Fri handel",-1,https://www.boligsiden.dk/adresse/majorvaenget-7-3520-farum-01900767___7_______
2019-05-07T10:39:52.373Z,3795000.0,Prisfald,-1,https://www.boligsiden.dk/adresse/majorvaenget-7-3520-farum-01900767___7_______
2019-03-14T15:18:09.597Z,3995000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-7-3520-farum-01900767___7_______
2017-05-24T14:56:11.18Z,3399000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-7-3520-farum-01900767___7_______
2017-05-15T00:00:00Z,3399000.0,"Solgt, Fri handel",-1,https://www.boligsiden.dk/adresse/majorvaenget-7-3520-farum-01900767___7_______
2016-12-06T07:06:34.823Z,3399000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-7-3520-farum-01900767___7_______
2016-11-27T00:00:00Z,3399000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-7-3520-farum-01900767___7_______
2016-08-18T11:00:10.87Z,3399000.0,Prisstigning,-1,https://www.boligsiden.dk/adresse/majorvaenget-7-3520-farum-01900767___7_______
2016-07-10T13:00:01.973Z,3299000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-7-3520-farum-01900767___7_______
,1400000.0,"Solgt, Fri handel""}]",-1,https://www.boligsiden.dk/adresse/fanevaenget-48-3520-farum-01900809__48_______
,3500000.0,"Solgt, Fri handel",-1,https://www.boligsiden.dk/adresse/majorvaenget-2-3520-farum-01900767___2_______
2018-07-23T12:38:01.663Z,3595000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-2-3520-farum-01900767___2_______
2018-05-01T23:00:00Z,3595000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-2-3520-farum-01900767___2_______
2018-01-06T07:03:10.397Z,3595000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-2-3520-farum-01900767___2_______
2017-05-29T17:03:09.43Z,3595000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-2-3520-farum-01900767___2_______
2017-02-14T13:22:09.047Z,3595000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-2-3520-farum-01900767___2_______
2017-01-30T10:44:04.767Z,3595000.0,Prisstigning,-1,https://www.boligsiden.dk/adresse/majorvaenget-2-3520-farum-01900767___2_______
2017-01-19T10:30:06.427Z,3495000.0,Prisfald,-1,https://www.boligsiden.dk/adresse/majorvaenget-2-3520-farum-01900767___2_______
2016-09-02T16:26:13.79Z,3595000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-2-3520-farum-01900767___2_______
2015-10-02T00:00:00Z,3249000.0,"Solgt, Fri handel""}]",-1,https://www.boligsiden.dk/adresse/majorvaenget-2-3520-farum-01900767___2_______
,1400000.0,"Solgt, Fri handel""}]",-1,https://www.boligsiden.dk/adresse/fanevaenget-52-3520-farum-01900809__52_______
,4295000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-1-3520-farum-01900767___1_______
2021-09-14T08:19:03Z,4295000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-1-3520-farum-01900767___1_______
2017-05-24T14:54:02.897Z,3299000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-1-3520-farum-01900767___1_______
2017-03-19T00:00:00Z,3416950.0,"Solgt, Fri handel",-1,https://www.boligsiden.dk/adresse/majorvaenget-1-3520-farum-01900767___1_______
2016-11-27T00:00:00Z,3299000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-1-3520-farum-01900767___1_______
,4095000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-9-3520-farum-01900767___9_______
2023-03-22T00:00:00Z,4000000.0,"Solgt, Fri handel",-1,https://www.boligsiden.dk/adresse/majorvaenget-9-3520-farum-01900767___9_______
2023-03-15T10:22:27.481089Z,4095000.0,Prisfald,-1,https://www.boligsiden.dk/adresse/majorvaenget-9-3520-farum-01900767___9_______
2023-01-18T16:01:41.870459Z,4295000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-9-3520-farum-01900767___9_______
2018-06-29T07:13:56.353Z,3600000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-9-3520-farum-01900767___9_______
2018-06-10T00:00:00Z,3600000.0,"Solgt, Fri handel",-1,https://www.boligsiden.dk/adresse/majorvaenget-9-3520-farum-01900767___9_______
2018-05-30T16:00:05.66Z,3600000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-9-3520-farum-01900767___9_______
2016-05-17T00:00:00Z,3349000.0,"Solgt, Fri handel""}]",-1,https://www.boligsiden.dk/adresse/majorvaenget-9-3520-farum-01900767___9_______
,5200000.0,"Solgt, Fri handel",-1,https://www.boligsiden.dk/adresse/fanevaenget-50-3520-farum-01900809__50_______
2023-01-30T09:59:59.664169Z,5595000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/fanevaenget-50-3520-farum-01900809__50_______
2023-01-30T09:59:20.602876Z,5595000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/fanevaenget-50-3520-farum-01900809__50_______
2023-01-28T15:28:43.684585Z,5595000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/fanevaenget-50-3520-farum-01900809__50_______
2022-10-18T11:51:02.306121Z,5595000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/fanevaenget-50-3520-farum-01900809__50_______
2015-04-07T00:00:00Z,1400000.0,"Solgt, Fri handel",-1,https://www.boligsiden.dk/adresse/fanevaenget-50-3520-farum-01900809__50_______
2015-04-07T00:00:00Z,1400000.0,"Solgt, Fri handel""}]",-1,https://www.boligsiden.dk/adresse/fanevaenget-50-3520-farum-01900809__50_______
,3800000.0,"Solgt, Fri handel",-1,https://www.boligsiden.dk/adresse/majorvaenget-3-3520-farum-01900767___3_______
2021-02-27T12:58:50.953Z,3995000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-3-3520-farum-01900767___3_______
2021-02-10T10:38:01.533Z,3995000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-3-3520-farum-01900767___3_______
2016-06-30T00:00:00Z,3100000.0,"Solgt, Fri handel""}]",-1,https://www.boligsiden.dk/adresse/majorvaenget-3-3520-farum-01900767___3_______
,3995000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-5-3520-farum-01900767___5_______
2021-02-09T00:00:00Z,4025000.0,"Solgt, Fri handel",-1,https://www.boligsiden.dk/adresse/majorvaenget-5-3520-farum-01900767___5_______
2021-01-04T15:01:53.323Z,3995000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-5-3520-farum-01900767___5_______
2020-06-21T12:39:01.84Z,3700000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-5-3520-farum-01900767___5_______
2020-06-20T00:00:00Z,3360000.0,"Solgt, Fri handel",-1,https://www.boligsiden.dk/adresse/majorvaenget-5-3520-farum-01900767___5_______
2020-05-19T09:44:35Z,3700000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/majorvaenget-5-3520-farum-01900767___5_______
2016-06-28T00:00:00Z,2950000.0,"Solgt, Fri handel""}]",-1,https://www.boligsiden.dk/adresse/majorvaenget-5-3520-farum-01900767___5_______
,3795000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/fanevaenget-42-3520-farum-01900809__42_______
2023-07-26T00:00:00Z,3795000.0,"Solgt, Fri handel",-1,https://www.boligsiden.dk/adresse/fanevaenget-42-3520-farum-01900809__42_______
2023-07-01T11:35:08.893948Z,3795000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/fanevaenget-42-3520-farum-01900809__42_______
2019-10-24T00:00:00Z,1216667.0,"Solgt, Fri handel",-1,https://www.boligsiden.dk/adresse/fanevaenget-42-3520-farum-01900809__42_______
2019-06-06T00:00:01Z,3650000.0,Fjernet fra boligsiden,-1,https://www.boligsiden.dk/adresse/fanevaenget-42-3520-farum-01900809__42_______
2019-06-06T00:00:00Z,3650000.0,"Solgt, Fri handel",-1,https://www.boligsiden.dk/adresse/fanevaenget-42-3520-farum-01900809__42_______
2019-06-06T00:00:00Z,3650000.0,Udbudt til salg på boligsiden,-1,https://www.boligsiden.dk/adresse/fanevaenget-42-3520-farum-01900809__42_______
2015-09-22T00:00:00Z,1400000.0,"Solgt, Fri handel""}]",-1,https://www.boligsiden.dk/adresse/fanevaenget-42-3520-farum-01900809__42_______
,1750000,"Solgt, Familiehandel",-1,https://www.boligsiden.dk/adresse/alfevej-9a-2730-herlev-01630098__9a_______
2011-10-24T00:00:00Z,2415000,"Solgt, Fri handel""}]",-1,https://www.boligsiden.dk/adresse/alfevej-9a-2730-herlev-01630098__9a_______
