Date,Price,Status,Build Year,URL,Adresse,Kort adresse,Kvdm,Latitude,Longitude,Kommune,Type,Nearest_Metro_Distance,Nearest_Tog_Distance
2022-05-11,6800000,"Solgt, Fri handel",1918,https://www.boligsiden.dk/adresse/hoejdevangs-alle-24-0-2300-koebenhavn-s-01013192__24_st____,"Højdevangs Allé 24, st. 2300 København S",Højdevangs Allé 24,115.0,,,København,Ejerlejlighed,inf,inf
2022-05-11,6800000,"Solgt, Fri handel",1918,https://www.boligsiden.dk/adresse/hoejdevangs-alle-24-0-2300-koebenhavn-s-01013192__24_st____,"Højdevangs Allé 24, st. 2300 København S",Højdevangs Allé 24,115.0,,,København,Ejerlejlighed,inf,inf
2018-03-16,2195000,"Solgt, Fri handel",1939,https://www.boligsiden.dk/adresse/sjaeloer-boulevard-45-2-tv-2450-koebenhavn-sv-01016412__45__2__tv,"Sjælør Boulevard 45, 2. tv. 2450 København SV",Sjælør Boulevard 45,65.0,,,København,Ejerlejlighed,inf,inf
2016-11-03,1833000,"Solgt, Fri handel",1939,https://www.boligsiden.dk/adresse/sjaeloer-boulevard-45-2-tv-2450-koebenhavn-sv-01016412__45__2__tv,"Sjælør Boulevard 45, 2. tv. 2450 København SV",Sjælør Boulevard 45,65.0,,,København,Ejerlejlighed,inf,inf
2015-12-19,1500000,"Solgt, Fri handel",1939,https://www.boligsiden.dk/adresse/sjaeloer-boulevard-45-2-tv-2450-koebenhavn-sv-01016412__45__2__tv,"Sjælør Boulevard 45, 2. tv. 2450 København SV",Sjælør Boulevard 45,65.0,,,København,Ejerlejlighed,inf,inf
2021-01-13,2102000,"Solgt, Fri handel",1936,https://www.boligsiden.dk/adresse/sjaeloer-boulevard-30-2-tv-2450-koebenhavn-sv-01016412__30__2__tv,"Sjælør Boulevard 30, 2. tv. 2450 København SV",Sjælør Boulevard 30,52.0,,,København,Ejerlejlighed,inf,inf
2022-04-12,2495000,"Solgt, Fri handel",1936,https://www.boligsiden.dk/adresse/sjaeloer-boulevard-20-0-tv-2450-koebenhavn-sv-01016412__20_st__tv,"Sjælør Boulevard 20, st. tv. 2450 København SV",Sjælør Boulevard 20,52.0,,,København,Ejerlejlighed,inf,inf
2019-06-13,1555000,"Solgt, Fri handel",1936,https://www.boligsiden.dk/adresse/sjaeloer-boulevard-20-0-tv-2450-koebenhavn-sv-01016412__20_st__tv,"Sjælør Boulevard 20, st. tv. 2450 København SV",Sjælør Boulevard 20,52.0,,,København,Ejerlejlighed,inf,inf
2017-05-31,9000000,"Solgt, Fri handel",2017,https://www.boligsiden.dk/adresse/amerika-plads-23-11-tv-2100-koebenhavn-oe-01010139__23_11__tv,"Amerika Plads 23, 11. tv. 2100 København Ø",Amerika Plads 23,160.0,,,København,Ejerlejlighed,inf,inf
2019-06-24,4345000,"Solgt, Fri handel",2017,https://www.boligsiden.dk/adresse/amerika-plads-23-5-mf-2100-koebenhavn-oe-01010139__23__5__mf,"Amerika Plads 23, 5. mf. 2100 København Ø",Amerika Plads 23,87.0,,,København,Ejerlejlighed,inf,inf
2017-05-31,3395000,"Solgt, Fri handel",2017,https://www.boligsiden.dk/adresse/amerika-plads-23-5-mf-2100-koebenhavn-oe-01010139__23__5__mf,"Amerika Plads 23, 5. mf. 2100 København Ø",Amerika Plads 23,87.0,,,København,Ejerlejlighed,inf,inf
2021-02-22,10725000,"Solgt, Fri handel",2017,https://www.boligsiden.dk/adresse/amerika-plads-23-12-th-2100-koebenhavn-oe-01010139__23_12__th,"Amerika Plads 23, 12. th. 2100 København Ø",Amerika Plads 23,139.0,,,København,Ejerlejlighed,inf,inf
2018-09-27,9025000,"Solgt, Fri handel",2017,https://www.boligsiden.dk/adresse/amerika-plads-23-12-th-2100-koebenhavn-oe-01010139__23_12__th,"Amerika Plads 23, 12. th. 2100 København Ø",Amerika Plads 23,139.0,,,København,Ejerlejlighed,inf,inf
2021-10-04,3125000,"Solgt, Fri handel",1902,https://www.boligsiden.dk/adresse/soender-boulevard-43-2-th-1720-koebenhavn-v-01017288__43__2__th,"Sønder Boulevard 43, 2. th. 1720 København V",Sønder Boulevard 43,54.0,,,København,Ejerlejlighed,inf,inf
2017-05-03,2375000,"Solgt, Fri handel",1902,https://www.boligsiden.dk/adresse/soender-boulevard-43-2-th-1720-koebenhavn-v-01017288__43__2__th,"Sønder Boulevard 43, 2. th. 1720 København V",Sønder Boulevard 43,54.0,,,København,Ejerlejlighed,inf,inf
2021-11-30,10300000,"Solgt, Fri handel",2017,https://www.boligsiden.dk/adresse/amerika-plads-23-9-th-2100-koebenhavn-oe-01010139__23__9__th,"Amerika Plads 23, 9. th. 2100 København Ø",Amerika Plads 23,139.0,,,København,Ejerlejlighed,inf,inf
2017-06-21,6395000,"Solgt, Fri handel",2017,https://www.boligsiden.dk/adresse/amerika-plads-23-9-th-2100-koebenhavn-oe-01010139__23__9__th,"Amerika Plads 23, 9. th. 2100 København Ø",Amerika Plads 23,139.0,,,København,Ejerlejlighed,inf,inf
2021-06-17,2498000,"Solgt, Fri handel",1939,https://www.boligsiden.dk/adresse/jernbane-alle-24b-3-tv-2720-vanloese-01013400_24b__3__tv,"Jernbane Allé 24B, 3. tv. 2720 Vanløse",Jernbane Allé 24,62.0,,,København,Ejerlejlighed,inf,inf
2019-10-09,3170000,"Solgt, Fri handel",1902,https://www.boligsiden.dk/adresse/soender-boulevard-43-1-tv-1720-koebenhavn-v-01017288__43__1__tv,"Sønder Boulevard 43, 1. tv. 1720 København V",Sønder Boulevard 43,69.0,,,København,Ejerlejlighed,inf,inf
2018-11-15,1600000,"Solgt, Fri handel",1936,https://www.boligsiden.dk/adresse/sjaeloer-boulevard-20-0-th-2450-koebenhavn-sv-01016412__20_st__th,"Sjælør Boulevard 20, st. th. 2450 København SV",Sjælør Boulevard 20,46.0,,,København,Ejerlejlighed,inf,inf
2018-11-13,4650000,"Solgt, Fri handel",2017,https://www.boligsiden.dk/adresse/amerika-plads-23-9-mf-2100-koebenhavn-oe-01010139__23__9__mf,"Amerika Plads 23, 9. mf. 2100 København Ø",Amerika Plads 23,87.0,,,København,Ejerlejlighed,inf,inf
2017-05-31,3695000,"Solgt, Fri handel",2017,https://www.boligsiden.dk/adresse/amerika-plads-23-9-mf-2100-koebenhavn-oe-01010139__23__9__mf,"Amerika Plads 23, 9. mf. 2100 København Ø",Amerika Plads 23,87.0,,,København,Ejerlejlighed,inf,inf
2018-02-08,11000000,"Solgt, Fri handel",2017,https://www.boligsiden.dk/adresse/amerika-plads-23-12-tv-2100-koebenhavn-oe-01010139__23_12__tv,"Amerika Plads 23, 12. tv. 2100 København Ø",Amerika Plads 23,160.0,,,København,Ejerlejlighed,inf,inf
2019-11-07,6975000,"Solgt, Fri handel",2017,https://www.boligsiden.dk/adresse/amerika-plads-23-7-th-2100-koebenhavn-oe-01010139__23__7__th,"Amerika Plads 23, 7. th. 2100 København Ø",Amerika Plads 23,139.0,,,København,Ejerlejlighed,inf,inf
2017-06-08,5895000,"Solgt, Fri handel",2017,https://www.boligsiden.dk/adresse/amerika-plads-23-7-th-2100-koebenhavn-oe-01010139__23__7__th,"Amerika Plads 23, 7. th. 2100 København Ø",Amerika Plads 23,139.0,,,København,Ejerlejlighed,inf,inf
2020-10-21,2895000,"Solgt, Fri handel",1938,https://www.boligsiden.dk/adresse/kastanie-alle-24-2-th-2720-vanloese-01013588__24__2__th,"Kastanie Allé 24, 2. th. 2720 Vanløse",Kastanie Allé 24,73.0,,,København,Ejerlejlighed,inf,inf
2018-07-09,1680000,"Solgt, Fri handel",1936,https://www.boligsiden.dk/adresse/sjaeloer-boulevard-30-2-mf-2450-koebenhavn-sv-01016412__30__2__mf,"Sjælør Boulevard 30, 2. mf. 2450 København SV",Sjælør Boulevard 30,46.0,,,København,Ejerlejlighed,inf,inf
2021-09-08,6400000,"Solgt, Fri handel",1780,https://www.boligsiden.dk/adresse/nyhavn-12d-3-tv-1051-koebenhavn-k-01015112_12d__3__tv,"Nyhavn 12D, 3. tv. 1051 København K",Nyhavn 12,84.0,,,København,Ejerlejlighed,inf,inf
2015-11-11,4200000,"Solgt, Fri handel",1780,https://www.boligsiden.dk/adresse/nyhavn-12d-1-mf-1051-koebenhavn-k-01015112_12d__1__mf,"Nyhavn 12D, 1. mf. 1051 København K",Nyhavn 12,88.0,,,København,Ejerlejlighed,inf,inf
2022-06-28,6300000,"Solgt, Fri handel",1700,https://www.boligsiden.dk/adresse/nyhavn-23-2-1051-koebenhavn-k-01015112__23__2____,"Nyhavn 23, 2. 1051 København K",Nyhavn 23,95.0,,,København,Ejerlejlighed,inf,inf
2020-08-03,2130000,"Solgt, Fri handel",1939,https://www.boligsiden.dk/adresse/jernbane-alle-24a-0-th-2720-vanloese-01013400_24a_st__th,"Jernbane Allé 24A, st. th. 2720 Vanløse",Jernbane Allé 24,60.0,,,København,Ejerlejlighed,inf,inf
2016-03-11,1622500,"Solgt, Fri handel",1939,https://www.boligsiden.dk/adresse/jernbane-alle-24a-0-th-2720-vanloese-01013400_24a_st__th,"Jernbane Allé 24A, st. th. 2720 Vanløse",Jernbane Allé 24,60.0,,,København,Ejerlejlighed,inf,inf
