Article_URL,Adresse,Kvdm
https://www.boligsiden.dk/adresse/helsinkigade-20-11-3-2150-nordhavn-01014457__20_11___3,"Helsinkigade 20, 11. 3. 2150 Nordhavn",171
https://www.boligsiden.dk/adresse/elmelundevej-22-1-th-2700-broenshoej-01011508__22__1__th,"Elmelundevej 22, 1. th. 2700 Brønshøj",60
https://www.boligsiden.dk/adresse/alliancevej-23-0-th-2450-koebenhavn-sv-01010090__23_st__th,"Alliancevej 23, st. th. 2450 København SV",93
https://www.boligsiden.dk/adresse/vester-soegade-64-2-tv-1601-koebenhavn-v-01018240__64__2__tv,"Vester Søgade 64, 2. tv. 1601 København V",106
https://www.boligsiden.dk/adresse/weidekampsgade-57-5-3-2300-koebenhavn-s-01018122__57__5___3,"Weidekampsgade 57, 5. 3. 2300 København S",67
https://www.boligsiden.dk/adresse/vestbanevej-15-4-th-2500-valby-01018196__15__4__th,"Vestbanevej 15, 4. th. 2500 Valby",65
https://www.boligsiden.dk/adresse/teglholmsgade-80-3-tv-2450-koebenhavn-sv-01017352__80__3__tv,"Teglholmsgade 80, 3. tv. 2450 København SV",102
https://www.boligsiden.dk/adresse/lemnosvej-22-0-tv-2300-koebenhavn-s-01014220__22_st__tv,"Lemnosvej 22, st. tv. 2300 København S",85
https://www.boligsiden.dk/adresse/vester-soegade-72-3-th-1601-koebenhavn-v-01018240__72__3__th,"Vester Søgade 72, 3. th. 1601 København V",84
https://www.boligsiden.dk/adresse/willy-brandts-vej-17-0-2450-koebenhavn-sv-01018844__17_st____,"Willy Brandts Vej 17, st. 2450 København SV",107
https://www.boligsiden.dk/adresse/caeciliavej-62-2500-valby-01011200__62_______,Cæciliavej 62 2500 Valby,91
https://www.boligsiden.dk/adresse/edvard-thomsens-vej-15-4-tv-2300-koebenhavn-s-01011442__15__4__tv,"Edvard Thomsens Vej 15, 4. tv. 2300 København S",100
https://www.boligsiden.dk/adresse/flakholmen-10-1-th-2720-vanloese-01011808__10__1__th,"Flakholmen 10, 1. th. 2720 Vanløse",64
https://www.boligsiden.dk/adresse/banebrinken-101-3-91-2400-koebenhavn-nv-01010352_101__3__91,"Banebrinken 101, 3. 91. 2400 København NV",73
https://www.boligsiden.dk/adresse/kastanie-alle-26a-1-th-2720-vanloese-01013588_26a__1__th,"Kastanie Allé 26A, 1. th. 2720 Vanløse",70
https://www.boligsiden.dk/adresse/gormsgade-11-1-tv-2200-koebenhavn-n-01012268__11__1__tv,"Gormsgade 11, 1. tv. 2200 København N",94
https://www.boligsiden.dk/adresse/frilands-alle-8-0-2500-valby-01011992___8_st____,"Frilands Allé 8, st. 2500 Valby",75
https://www.boligsiden.dk/adresse/hollaenderdybet-2-4-th-2300-koebenhavn-s-01012980___2__4__th,"Hollænderdybet 2, 4. th. 2300 København S",94
https://www.boligsiden.dk/adresse/teglholmsgade-6b-5-th-2450-koebenhavn-sv-01017352__6b__5__th,"Teglholmsgade 6B, 5. th. 2450 København SV",66
https://www.boligsiden.dk/adresse/nordbyvej-13a-2720-vanloese-01015012_13a_______,Nordbyvej 13A 2720 Vanløse,91
