Kort adresse,Latitude,Longitude
Dronningens Tværgade 34,55.68451899999999,12.585331
Kirkebjerg Allé 37,55.6946958,12.4836205
Peder Lykkes Vej 44,55.65396209999999,12.6039842
Urtehaven 10A 2500,55.6517727,12.4955672
Prøvestens Allé 4,55.660459,12.6165828
Ellebjergvej 13,55.6500223,12.5259653
Bredgade 47,55.68433839999999,12.5900855
Laurids Skaus Gade 15,55.688197,12.5440466
Jernbane Allé 6,55.6842512,12.4938498
Amager Strandvej 114,55.66006969999999,12.6317355
Landskronagade 57,55.7126963,12.5686087
Holbergsgade 30,55.6792382,12.5912254
Italiensvej 30,55.6546369,12.6225195
Fuglsang Allé 87,55.6977371,12.4987186
Sigynsgade 48,55.7053599,12.55023
Rebekkavej 28,55.73103399999999,12.5646219
Larsbjørnsstræde 8,55.6780874,12.5699275
Gerbrandsvej 24,55.6471495,12.6181082
Bellahøjvej 22,55.701379,12.5102842
Bygholmvej 17,55.6904361,12.4851692
Helga Larsens Plads 10,55.6844619,12.484246
Lauravej 1,55.667634,12.510397
Ungarnsgade 66,55.6627591,12.6141707
Herluf Trolles Gade 19,55.6787406,12.5910663
Molbechsvej 5,55.66296699999999,12.519205
Vigerslevvej 283,55.6490819,12.4921397
Østbanegade 37,55.6978619,12.5915578
Hamletsgade 26,55.7010448,12.543773
Kenny Drews Vej 3,55.6458464,12.5489563
Bremensgade 29,55.66633090000001,12.616273
Tom Kristensens Vej 28,55.66107,12.587415
Børglumvej 33A 2720,55.6899358,12.4848649
Landfogedvej 1,55.7086438,12.530837
Sundkaj 89,55.7098115,12.5981365
Valdemar Holmers Gade 41,55.7109312,12.5580593
Hemsedalsgade 7,55.658997,12.605056
Ålandsgade 3,55.66442619999999,12.6046783
Blegdamsvej 26,55.69258319999999,12.5647599
Japanvej 6,55.6511473,12.6268216
Bogholder Allé 31,55.6845472,12.4907325
Vigerslevvej 254,55.65144,12.4891604
Hvalsøvej 13,55.7050284,12.4907366
Ben Websters Vej 130,55.6456783,12.5523895
Jansvej 26,55.6448328,12.6174401
Vigerslevvej 310,55.64734869999999,12.4935536
Teglgårdstræde 16,55.67994359999999,12.5681725
Heimdalsgade 3,55.6999746,12.5410628
Jyllingevej 83,55.6907997,12.4794983
Strandlodsvej 18M 2300,55.6662437,12.620317
Rosenvængets Allé 5,55.6988855,12.5790514
Havneholmen 80,55.6610101,12.5638174
Odinsgade 17,55.85451459999999,9.8363844
Grønnegade 43,55.68173239999999,12.5834155
Rasmus Rasks Vej 2,55.6632745,12.5179702
Amagerbrogade 39,55.6643067,12.6008716
Grønnehøj 1A 2720,55.6852562,12.484719
Prinsesse Charlottes Gade 5,55.69261669999999,12.5532259
Vigerslevvej 8,55.6719523,12.4920742
Peblinge Dossering 20,55.6857699,12.5607686
Studsgaardsgade 50,55.7103554,12.5570281
Snorresgade 6,55.66563430000001,12.5760698
Teglgårdstræde 12,55.6797614,12.5682546
Milanovej 2,55.6612638,12.6231509
Rued Langgaards Vej 25,55.6597184,12.5885472
Backersvej 49,55.6577807,12.6206847
Esthersvej 21,55.7297881,12.5647645
Sønder Boulevard 65,55.6657975,12.5513827
Nikolaj Plads 34,55.67815770000001,12.5812171
Vindingevej 11 2700,55.7098401,12.4612285
Ørestads Boulevard 57,55.6345623,12.5820972
Kongovej 6,55.6476212,12.623471
Borgergade 105,55.68761079999999,12.5883293
Markskellet 5,55.6938774,12.491933
Rodosvej 12,55.6504914,12.6140858
Vibekegade 7,55.7066763,12.5557503
Backersvej 47,55.6580835,12.6205502
Ved Sønderport 20,55.666622,12.6016951
Frederiksborgvej 199,55.7247448,12.5278094
Rostgaardsvej 31,55.7036658,12.5000794
Holmbladsgade 111,55.6678027,12.6167599
Rentemestervej 36,55.7061824,12.5305092
Schubertsvej 1,55.6474994,12.5321282
Ålborggade 26,55.70560400000001,12.579811
Roskildevej 185,55.67241600000001,12.4848146
Dalføret 1,55.6549662,12.6025564
Greisvej 8,55.6440467,12.6175611
Ahlmannsgade 3,55.68714689999999,12.5435561
Godthåbsvej 191,55.6920932,12.5139405
Vigerslevvej 259F 2500,55.65121,12.490432
Bohlendachvej 4,55.679213,12.6039933
Holmbladsgade 3,55.6642015,12.6014001
Borgerbo 7,55.6643206,12.5961375
Hollænderdybet 2,55.6650052,12.5993422
Parmagade 42,55.65319599999999,12.6163267
Åbenrå 31,55.6832954,12.5761327
Hjørringgade 15,55.7061863,12.5877124
Frimestervej 2,55.7065391,12.5370401
Arkonagade 22,55.66489929999999,12.5531559
Sundholmsvej 25,55.662378,12.596188
Peder Hjorts Vej 5,55.66188700000001,12.5119979
Kenny Drews Vej 35,55.6452171,12.5506436
Larsbjørnsstræde 19,55.6786797,12.568977
Trondhjemsgade 15,55.6950684,12.5888804
Frederikssundsvej 404,55.71632899999999,12.460803
Milanovej 14,55.6600854,12.6239557
Nyborggade 18,55.7096166,12.5801821
Nørre Allé 9,55.6917792,12.5607645
Greisvej 29,55.6451575,12.6192714
Peter Bangs Vej 227,55.6766151,12.4867179
Vermlandsgade 74,55.666709,12.611572
Rosenholms Allé 27,55.65829060000001,12.482757
Indiakaj 5,55.6956269,12.5959754
Strandpromenaden 47 2100,55.72026899999999,12.5823857
Søndermarksvej 4,,
Teglholm Allé 9,55.6503637,12.5505022
Peblinge Dossering 14,55.68623669999999,12.5611563
Svend Vonveds Vej 7,55.651107,12.6381758
Offenbachsvej 32,55.6492357,12.5298667
Vestervigvej 2,55.69318990000001,12.4717065
Sundby Parkvej 9,55.6627454,12.6293182
Sankt Gertruds Stræde 3,55.6830471,12.5741798
Gerdasgade 3B 2500,55.65735970000001,12.5189819
Bogholder Allé 33,55.6843625,12.4909149
Islands Brygge 13,55.6680101,12.5785877
Rudolph Berghs Gade 3,55.7091327,12.5580179
Palermovej 11,55.6604544,12.6223495
Grønnehave Allé 22,55.6455452,12.500369
Skipper Clements Allé 1,55.6559997,12.607333
Richard Mortensens Vej 73,55.6178111,12.5707512
Egemarkevej 2,55.6976102,12.4771531
Schleppegrellsgade 6,55.68998,12.5647794
Vigerslevvej 315,55.6466275,12.4955855
Ourøgade 21,55.70938409999999,12.5649749
Kongelundsvej 38,55.6398102,12.5887256
Rigensgade 9,55.68753,12.582614
Skyttegårdvej 7,55.6616958,12.4818403
Trekronergade 76,55.6555909,12.5199852
Lemnosvej 22,55.65287960000001,12.6224635
Højbovej 22,55.6599721,12.4869613
Krusågade 30,55.6653444,12.556088
Rosbæksvej 2,55.7228443,12.5771017
Vester Søgade 62,55.67950090000001,12.5603034
Dunkerquegade 11,55.70914879999999,12.5970526
Victor Bendix Gade 9,55.7114916,12.5661701
Søndre Allé 11,55.4525404,12.1796208
Bristol Allé 9,55.6441822,12.6049883
Kjærstrupvej 37,55.6762437,12.4886918
Bellahøjvej 153,55.6944799,12.4970305
Alliancevej 19,55.6484646,12.5528379
Ålekistevej 205,55.6948062,12.4795979
Ålekistevej 171,55.6917893,12.4805429
Ægirsgade 78,55.701489,12.5501633
Aggersvoldvej 3,55.6959633,12.5002897
Birkedommervej 30,55.7088425,12.5280203
Markskellet 9,55.69409839999999,12.4917619
Nøragervej 13A 2720,55.6960266,12.476121
Frederiksborggade 36,55.6850999,12.5688451
Hillerødgade 17,55.6970843,12.540424
Reberbanegade 53,55.6617894,12.6070866
Tønnesvej 3,55.6461289,12.6186555
Husumvej 116,55.7075897,12.4782844
Vesterbrogade 83,55.6722021,12.5485217
Valdemar Holmers Gade 46,55.7111878,12.5583495
Tøndebindervej 4,55.7067798,12.535462
Nordre Digevej 62,55.6495442,12.5878418
Hyltebjerg Allé 50,55.68262929999999,12.4812081
Livjægergade 40,55.6999187,12.5858692
Hyacintgården 17,55.64926,12.6118745
Sankelmarksgade 12,55.6664301,12.5482101
Prisholmvej 20,55.66055679999999,12.482155
Hornemansgade 12,55.7144152,12.5764373
Brysselgade 6,55.6620151,12.6041739
Hyskenstræde 9,55.6779806,12.5768755
Peter Bangs Vej 239,55.6762916,12.4872615
Nakskovvej 45,55.6683731,12.4931473
